0 462 1
462 0 1
0 695 1
695 0 1
0 848 1
848 0 1
0 1051 1
1051 0 1
0 2102 1
2102 0 1
1 933 1
933 1 1
1 2008 1
2008 1 1
2 1120 1
1120 2 1
2 2269 1
2269 2 1
2 2591 1
2591 2 1
3 159 1
159 3 1
3 353 1
353 3 1
3 1770 1
1770 3 1
3 2520 1
2520 3 1
4 1129 1
1129 4 1
4 1692 1
1692 4 1
4 2280 1
2280 4 1
5 17 1
17 5 1
5 1275 1
1275 5 1
5 1621 1
1621 5 1
5 2045 1
2045 5 1
5 2086 1
2086 5 1
6 85 1
85 6 1
6 216 1
216 6 1
6 328 1
328 6 1
6 423 1
423 6 1
6 672 1
672 6 1
6 770 1
770 6 1
6 1010 1
1010 6 1
6 1066 1
1066 6 1
6 1071 1
1071 6 1
6 1253 1
1253 6 1
6 1263 1
1263 6 1
6 1344 1
1344 6 1
6 1900 1
1900 6 1
6 2094 1
2094 6 1
6 2266 1
2266 6 1
6 2331 1
2331 6 1
6 2596 1
2596 6 1
6 2626 1
2626 6 1
7 594 1
594 7 1
7 1131 1
1131 7 1
7 1723 1
1723 7 1
7 1754 1
1754 7 1
7 1938 1
1938 7 1
8 1918 1
1918 8 1
8 2579 1
2579 8 1
9 349 1
349 9 1
9 663 1
663 9 1
9 1493 1
1493 9 1
10 619 1
619 10 1
10 1514 1
1514 10 1
10 2298 1
2298 10 1
10 2503 1
2503 10 1
11 1107 1
1107 11 1
11 1275 1
1275 11 1
12 1139 1
1139 12 1
12 1962 1
1962 12 1
13 911 1
911 13 1
13 2024 1
2024 13 1
13 2038 1
2038 13 1
14 313 1
313 14 1
14 876 1
876 14 1
14 1240 1
1240 14 1
14 1410 1
1410 14 1
14 1556 1
1556 14 1
14 2293 1
2293 14 1
14 2368 1
2368 14 1
14 2461 1
2461 14 1
15 268 1
268 15 1
15 2088 1
2088 15 1
16 170 1
170 16 1
16 2333 1
2333 16 1
17 1394 1
1394 17 1
17 2100 1
2100 17 1
17 2171 1
2171 17 1
17 2346 1
2346 17 1
18 2443 1
2443 18 1
19 1536 1
1536 19 1
20 1899 1
1899 20 1
21 543 1
543 21 1
22 960 1
960 22 1
22 1335 1
1335 22 1
22 1578 1
1578 22 1
22 1912 1
1912 22 1
22 2020 1
2020 22 1
23 801 1
801 23 1
23 1311 1
1311 23 1
23 1599 1
1599 23 1
23 2249 1
2249 23 1
24 51 1
51 24 1
24 345 1
345 24 1
24 1054 1
1054 24 1
24 1384 1
1384 24 1
24 1579 1
1579 24 1
24 2245 1
2245 24 1
24 2357 1
2357 24 1
24 2465 1
2465 24 1
25 401 1
401 25 1
25 668 1
668 25 1
25 723 1
723 25 1
25 1105 1
1105 25 1
25 1396 1
1396 25 1
25 1412 1
1412 25 1
25 1554 1
1554 25 1
25 1584 1
1584 25 1
25 1715 1
1715 25 1
25 1730 1
1730 25 1
25 1887 1
1887 25 1
25 1970 1
1970 25 1
25 2097 1
2097 25 1
25 2528 1
2528 25 1
25 2533 1
2533 25 1
25 2553 1
2553 25 1
25 2650 1
2650 25 1
25 2707 1
2707 25 1
26 1307 1
1307 26 1
26 1392 1
1392 26 1
26 1725 1
1725 26 1
27 1273 1
1273 27 1
27 1672 1
1672 27 1
28 125 1
125 28 1
28 1171 1
1171 28 1
28 2437 1
2437 28 1
28 2499 1
2499 28 1
29 2326 1
2326 29 1
30 528 1
528 30 1
30 1672 1
1672 30 1
31 211 1
211 31 1
31 629 1
629 31 1
31 925 1
925 31 1
31 1327 1
1327 31 1
31 2102 1
2102 31 1
33 1910 1
1910 33 1
33 2291 1
2291 33 1
34 1231 1
1231 34 1
34 2583 1
2583 34 1
35 1605 1
1605 35 1
35 2250 1
2250 35 1
36 1311 1
1311 36 1
36 1735 1
1735 36 1
36 1859 1
1859 36 1
36 2325 1
2325 36 1
36 2365 1
2365 36 1
36 2613 1
2613 36 1
37 1028 1
1028 37 1
37 1288 1
1288 37 1
37 1348 1
1348 37 1
37 1593 1
1593 37 1
37 2106 1
2106 37 1
38 873 1
873 38 1
39 572 1
572 39 1
39 1247 1
1247 39 1
39 1310 1
1310 39 1
39 1840 1
1840 39 1
39 2057 1
2057 39 1
40 1304 1
1304 40 1
40 2072 1
2072 40 1
41 1071 1
1071 41 1
41 1884 1
1884 41 1
42 114 1
114 42 1
42 121 1
121 42 1
42 1075 1
1075 42 1
42 2222 1
2222 42 1
42 2345 1
2345 42 1
42 2554 1
2554 42 1
42 2613 1
2613 42 1
43 974 1
974 43 1
43 2412 1
2412 43 1
46 1071 1
1071 46 1
46 1787 1
1787 46 1
47 1606 1
1606 47 1
47 1725 1
1725 47 1
48 70 1
70 48 1
48 857 1
857 48 1
48 908 1
908 48 1
48 970 1
970 48 1
49 1776 1
1776 49 1
50 2199 1
2199 50 1
50 2257 1
2257 50 1
51 698 1
698 51 1
51 2146 1
2146 51 1
51 2245 1
2245 51 1
51 2292 1
2292 51 1
51 2629 1
2629 51 1
52 136 1
136 52 1
52 302 1
302 52 1
52 1385 1
1385 52 1
52 2228 1
2228 52 1
53 474 1
474 53 1
53 2046 1
2046 53 1
53 2256 1
2256 53 1
54 295 1
295 54 1
54 583 1
583 54 1
54 987 1
987 54 1
54 1199 1
1199 54 1
54 1360 1
1360 54 1
54 1431 1
1431 54 1
54 1575 1
1575 54 1
54 2250 1
2250 54 1
55 1043 1
1043 55 1
55 1460 1
1460 55 1
55 1540 1
1540 55 1
55 2200 1
2200 55 1
55 2332 1
2332 55 1
56 609 1
609 56 1
56 1701 1
1701 56 1
56 1999 1
1999 56 1
57 80 1
80 57 1
58 417 1
417 58 1
58 2347 1
2347 58 1
58 2513 1
2513 58 1
59 663 1
663 59 1
59 2462 1
2462 59 1
59 2490 1
2490 59 1
60 1462 1
1462 60 1
61 1718 1
1718 61 1
61 2305 1
2305 61 1
62 317 1
317 62 1
63 248 1
248 63 1
63 559 1
559 63 1
63 1264 1
1264 63 1
64 948 1
948 64 1
64 1639 1
1639 64 1
64 2072 1
2072 64 1
64 2668 1
2668 64 1
65 1180 1
1180 65 1
65 1389 1
1389 65 1
65 1575 1
1575 65 1
65 1775 1
1775 65 1
66 2275 1
2275 66 1
67 2205 1
2205 67 1
68 1091 1
1091 68 1
69 277 1
277 69 1
69 546 1
546 69 1
69 1161 1
1161 69 1
69 1340 1
1340 69 1
69 1669 1
1669 69 1
69 1675 1
1675 69 1
69 2124 1
2124 69 1
69 2613 1
2613 69 1
70 2650 1
2650 70 1
71 513 1
513 71 1
