4751 4766
3647 4443
3887 4971
4894 2940
4713 3541
411 3956
3093 171
922 4117
2069 1127
715 313
4225 4956
2165 2395
4652 2737
4849 1311
511 962
3455 3638
257 817
1253 4123
1238 2227
1163 1374
5278 4472
4698 2017
4411 875
921 3595
997 1778
4406 4951
1771 3772
4595 4719
1395 915
4747 2004
3613 3588
1958 2526
3259 4753
4423 4571
1296 508
1114 1501
1009 692
5309 2906
2944 2222
2744 3432
4234 3097
2407 3876
3510 3543
65 4077
447 2947
1243 2239
1685 1766
2948 1596
182 2870
3679 2731
1594 4288
2947 1245
3253 2679
3741 2550
2573 3766
1031 4214
3640 3337
4415 216
2404 2848
5084 975
2048 3803
2618 3609
3261 806
3956 4327
5211 441
2985 1469
4456 2743
2247 2874
4971 2471
1904 566
3595 3451
1745 1771
1217 4027
568 3692
594 693
503 2969
617 2482
1102 3539
4841 3604
972 3524
1853 1516
550 2280
2691 2414
4151 5062
2574 469
1980 820
5173 4525
4785 772
2294 613
3391 2555
1160 1418
2391 221
5236 3838
2909 1862
3994 2695
459 119
98 1954
2260 1026
284 3840
3549 3398
4572 4403
3294 2934
2623 3108
4320 2945
4594 232
3935 3934
4877 2400
2368 3745
2530 1115
2212 1025
3514 4585
4029 1131
271 4608
5272 2697
4834 3
2506 3458
3518 3165
217 1733
3860 3153
4177 4772
519 2201
1941 2530
846 3549
3239 153
3370 2003
4191 372
4056 4356
2173 2458
3665 1241
2598 1563
2464 755
923 147
2807 4232
3958 3179
3302 709
3150 2436
1936 4334
3714 4
4250 1638
905 2855
5036 23
2098 4915
1077 1992
1419 240
1306 2854
5233 5071
2772 4380
3704 2179
2238 1193
313 5042
3754 5101
4629 172
268 4828
1786 4278
3876 2525
4454 4312
1337 1442
1120 1642
2593 22
2476 3716
2991 1473
116 3318
4421 4720
2092 1907
4862 4819
2350 325
4017 4383
1093 5053
4157 3640
369 2965
3981 1631
516 1255
2314 1396
867 1088
2793 72
4777 4215
2753 1054
78 1110
5008 2493
1836 568
1878 1314
1742 4669
199 3974
650 1888
4044 1504
3263 3742
2799 1722
3050 4896
1609 4966
1715 969
1747 672
4943 4238
721 3994
5239 1258
5005 3591
167 3046
1539 2492
2366 3602
611 3016
4566 1928
3701 4654
1052 2106
3616 2153
291 50
3761 1298
4002 2824
1572 4482
3217 3657
2222 2718
3826 3877
4321 3723
178 3728
572 2927
1820 3376
2149 591
3293 2023
2481 3187
4441 1941
2311 3834
5286 3727
26 383
4137 1363
491 1074
282 4566
1094 2308
1816 1845
4101 3904
4409 4046
1406 991
4592 4634
3449 4180
1767 3249
2651 2277
4622 3042
3307 1882
602 1706
3539 1136
3004 1740
2067 3712
2547 4322
2402 4717
240 1338
5281 3672
668 3239
1021 499
5079 206
302 4268
558 1805
952 2990
1530 4043
3522 539
3729 2962
216 648
3496 3378
1630 1958
2877 4779
4345 2621
3767 2081
933 2063
200 758
5247 3220
2632 3264
5307 1429
3889 2757
2456 1446
4443 2058
4939 2644
554 4886
5201 4381
739 2759
2747 2384
5251 735
2469 3440
3579 3324
1023 2336
1757 1444
4946 2180
1351 4732
4887 329
1717 168
4203 39
395 4925
2482 2270
4606 2715
3877 1041
4617 396
2567 3047
2318 5003
1209 2827
5119 2379
3892 2746
1034 530
545 1009
2715 1553
1218 3893
4455 324
2926 95
121 2806
1459 1268
4430 3285
4787 3823
2792 146
1982 261
5076 1303
1772 4641
4968 2705
3873 4374
358 3805
3943 1696
2970 3830
2076 4106
684 2036
2269 3200
3325 3114
4730 555
2179 524
3626 1053
3841 2123
934 2381
5106 3463
2043 1582
3816 1094
2559 1836
3630 1410
2742 2866
2825 4010
3676 2026
2986 4020
608 3758
2377 3260
4806 515
461 1373
579 3087
3604 4838
1899 663
4217 2627
278 1983
3685 2974
979 558
2170 3067
2622 2321
5257 3560
1376 1292
1730 4670
4027 3500
588 2310
3608 3286
1121 2151
2256 923
863 3883
3785 1057
326 2500
4723 2035
4705 2663
290 4441
2575 1815
2580 3008
1075 777
5099 4284
4567 4777
1827 926
805 3589
2844 654
3363 1892
3079 1834
2819 2423
2081 2189
673 4377
3339 279
1557 1264
4394 803
2732 622
3753 4389
1793 1923
1002 468
2055 3426
3309 1487
2088 3559
3378 1686
120 3980
3845 3167
5222 3373
3467 1691
4188 2409
476 2465
2654 1192
4361 1840
5143 1206
